TYPE,LATITUDE,LONGITUDe,SUSTAINED WINDS
HU,11.5,116.9,75
HU,11.6,117.8,75
HU,11.7,118.5,75
HU,11.9,119.2,75
HU,12,120,75
HU,12.2,120.8,75
HU,12.5,121.7,75
HU,12.9,122.6,75
HU,13.1,123.6,75
HU,13.4,124.5,75
HU,13.7,125.4,75
HU,14.1,126.4,75
HU,14.5,127.2,75
HU,14.9,128,75
HU,15.3,128.8,75
HU,15.7,129.7,75
HU,16.1,131.1,75
HU,16.4,132.6,75
HU,16.8,133.6,75
HU,17.1,134.7,75
HU,17.3,135.9,75
HU,17.5,137.1,75
HU,17.7,138.2,75
HU,17.8,139.3,75
HU,17.9,140.5,75
HU,18,141.8,75
HU,18.3,142.9,75
HU,18.6,144,75
HU,18.7,144.8,75
HU,18.8,145.6,75
HU,18.9,146.2,75
HU,19.1,146.9,75
HU,19.3,148.4,75
HU,19.4,149.9,75
HU,19.5,151.8,75
HU,19.7,154,75
TS,18.4,125.7,50
TS,18.4,127.3,45
TS,18.6,128.9,45
TS,18.9,130,45
TS,19.2,131.1,45
TS,19.4,132.3,45
TS,19.7,133.5,45
TS,20.4,134.9,45
TS,21.1,136.3,60
TS,21.6,137.6,50
TS,22.1,138.9,50
TS,22.5,140,50
TS,22.8,141.1,50
TS,23.7,143,50
TS,25,145,50
TS,26.5,146.5,45
TS,28,148,45
TS,29.2,149.4,55
TS,30.2,150.9,60
HU,30.6,152,65
HU,31,153,75
HU,31.6,154,65
HU,32.3,155,65
HU,32.8,155.6,65
TS,33.2,156.3,60
TS,33.7,158.1,60
TS,34.1,160,60
TS,34.5,161.3,50
TS,34.8,162.7,55
TS,35.1,163.9,60
HU,35.3,165,75
HU,35.5,165.9,90
HU,35.7,166.8,90
HU,36.3,168.5,80
HU,37.1,170,70
HU,37.7,170.6,65
TS,38.3,170.6,60
TS,38.9,170.4,50
TS,39.5,170.1,45
TS,39.7,170,45
TS,39.8,169.8,45
HU,14.2,108.3,75
HU,14.6,109.3,75
HU,15.3,109.9,75
HU,15.9,109.8,75
HU,16.5,109.8,75
HU,16.9,110.1,75
HU,17.3,110.3,75
HU,18,110.5,75
HU,18.6,110.8,75
HU,19.3,111.3,75
HU,19.8,111.9,75
HU,20.1,112.5,75
HU,20.4,113.1,75
HU,21.2,114.2,75
HU,22.1,115.2,75
HU,22.6,115.6,75
HU,23.1,116,75
HU,23.5,116.6,75
HU,24,117.3,75
HU,24.7,118.3,75
HU,25.3,119.3,75
HU,25.8,120.1,75
HU,26.3,120.6,75
HU,27.1,120.8,75
HU,27.9,120.8,75
HU,28.5,120.7,75
HU,29.1,120.4,75
TD,15,149.6,25
TS,15,150.5,45
TS,15.1,151.6,45
TS,15.2,152.6,45
TS,15.3,153.5,45
TS,15.7,154.7,45
TS,16.2,155.8,45
TS,17,157,45
TS,17.7,157.8,45
TS,18.7,159.1,45
TS,19.7,160.3,45
TS,20.7,161.7,45
HU,21.7,162.9,75
HU,22,164.4,75
HU,23,165.4,75
HU,23.8,166.5,75
HU,24.4,167.8,75
HU,24.6,168.5,75
HU,25,169.6,75
HU,25,170.5,75
HU,25,171.5,75
HU,25.1,172.2,75
HU,25.3,172.7,75
HU,25.4,173.3,75
HU,25.3,173.9,75
HU,25,174.5,75
HU,24.7,174.9,75
HU,24.3,175.4,75
HU,23.7,175.8,75
HU,23,176.2,75
HU,22.3,176.7,75
HU,21.6,177.5,75
HU,21,178.3,75
HU,20.5,179.2,75
HU,20.1,179.9,75
HU,19.7,179,80
HU,19.4,178.2,85
HU,19.4,176.9,93
HU,19.7,175.6,100
HU,20.2,174.5,100
HU,20.8,173.5,100
HU,21.4,172.1,100
HU,22,170.8,100
HU,22.7,169.4,100
HU,23.3,168,100
HU,23.8,166.5,100
HU,24.2,165,100
HU,24.8,163.5,110
TS,15.3,139,45
TS,15.5,139.7,45
TS,15.8,140.5,45
TS,16.3,141.5,45
TS,16.7,142.4,45
TS,17,143,45
TS,17.3,143.5,45
TS,17.7,144.1,45
TD,18,145,25
TD,18.3,145.7,25
HU,15,98.6,75
HU,15.8,99.4,75
HU,16.3,100.1,75
HU,16.6,100.7,75
HU,17,101.3,75
HU,17.4,101.7,75
HU,17.8,102,75
HU,18.2,102.3,75
TS,20.2,108.6,45
TS,20.6,108.3,45
TS,21.1,108.2,45
TS,21.7,108.3,45
TS,22.2,108.5,45
TS,22.7,108.6,45
TS,23.2,108.7,45
TS,23.7,108.7,45
TS,24.2,108.6,45
TS,24.5,108.9,45
TS,24.5,109.5,45
TS,12,162,45
TS,12.2,163,45
TS,12.3,163.9,45
TS,12.4,164.8,45
TS,12.5,166,45
TS,12.5,166.9,45
TS,12.6,167.9,45
TS,12.6,168.9,45
TS,12.6,170,45
TS,12.6,171.1,45
TD,12.7,172.2,25
TD,12.7,173.5,25
